Site,Year,Zone,Density,UWA-2007
MS1,2007,General use zone,60,300
MS1,2007,General use zone,32,270
MS1,2007,General use zone,33,290
MS1,2007,General use zone,42,290
MS1,2007,General use zone,30,180
MS1,2007,General use zone,70,340
MS2,2007,Sanctuary zone,17,215
MS2,2007,Sanctuary zone,25,350
MS2,2007,Sanctuary zone,31,350
MS2,2007,Sanctuary zone,56,260
MS2,2007,Sanctuary zone,62,320
MS2,2007,Sanctuary zone,45,290
MS3,2007,General use zone,21,270
MS3,2007,General use zone,19,340
MS3,2007,General use zone,30,300
MS3,2007,General use zone,20,450
MS3,2007,General use zone,30,300
MS3,2007,General use zone,28,420
MS4,2007,Sanctuary zone,35,330
MS4,2007,Sanctuary zone,35,310
MS4,2007,Sanctuary zone,44,290
MS4,2007,Sanctuary zone,41,300
MS4,2007,Sanctuary zone,39,330
MS4,2007,Sanctuary zone,39,260
MS6,2007,General use zone,76,360
MS6,2007,General use zone,17,380
MS6,2007,General use zone,12,300
MS6,2007,General use zone,25,320
MS6,2007,General use zone,28,360
MS6,2007,General use zone,30,400
OS1,2007,General use zone,35,280
OS1,2007,General use zone,42,300
OS1,2007,General use zone,57,320
OS1,2007,General use zone,56,290
OS1,2007,General use zone,36,260
OS1,2007,General use zone,29,300
OS2,2007,General use zone,41,320
OS2,2007,General use zone,49,250
OS2,2007,General use zone,37,340
OS2,2007,General use zone,33,270
OS2,2007,General use zone,50,330
OS2,2007,General use zone,48,260
OS3,2007,General use zone,22,260
OS3,2007,General use zone,57,220
OS3,2007,General use zone,16,350
OS3,2007,General use zone,19,320
OS3,2007,General use zone,31,410
OS3,2007,General use zone,18,340
OS4,2007,General use zone,54,310
OS4,2007,General use zone,12,310
OS4,2007,General use zone,22,370
OS4,2007,General use zone,40,440
OS4,2007,General use zone,48,340
OS4,2007,General use zone,24,330
OS6,2007,General use zone,30,290
OS6,2007,General use zone,32,370
OS6,2007,General use zone,26,250
OS6,2007,General use zone,22,200
OS6,2007,General use zone,43,340
OS6,2007,General use zone,12,310
MS1,2015,General use zone,37,320
MS1,2015,General use zone,36,325
MS1,2015,General use zone,36,380
MS1,2015,General use zone,27,330
MS1,2015,General use zone,26,330
MS1,2015,General use zone,14,320
MS2,2015,Sanctuary zone,44,200
MS2,2015,Sanctuary zone,39,300
MS2,2015,Sanctuary zone,35,200
MS2,2015,Sanctuary zone,31,300
MS2,2015,Sanctuary zone,31,250
MS2,2015,Sanctuary zone,28,350
MS3,2015,General use zone,53,390
MS3,2015,General use zone,47,410
MS3,2015,General use zone,47,350
MS3,2015,General use zone,46,380
MS3,2015,General use zone,46,520
MS3,2015,General use zone,45,450
MS4,2015,Sanctuary zone,57,470
MS4,2015,Sanctuary zone,51,530
MS4,2015,Sanctuary zone,49,380
MS4,2015,Sanctuary zone,48,600
MS4,2015,Sanctuary zone,47,380
MS4,2015,Sanctuary zone,45,360
MS6,2015,General use zone,67,540
MS6,2015,General use zone,53,450
MS6,2015,General use zone,52,500
MS6,2015,General use zone,49,400
MS6,2015,General use zone,45,390
MS6,2015,General use zone,42,500
OS1,2015,General use zone,47,310
OS1,2015,General use zone,34,220
OS1,2015,General use zone,30,320
OS1,2015,General use zone,28,350
OS1,2015,General use zone,27,350
OS1,2015,General use zone,25,330
OS2,2015,General use zone,46,390
OS2,2015,General use zone,40,380
OS2,2015,General use zone,39,430
OS2,2015,General use zone,37,420
OS2,2015,General use zone,36,480
OS2,2015,General use zone,32,290
OS3,2015,General use zone,27,350
OS3,2015,General use zone,24,470
OS3,2015,General use zone,23,230
OS3,2015,General use zone,21,350
OS3,2015,General use zone,20,230
OS3,2015,General use zone,19,330
OS4,2015,General use zone,46,400
OS4,2015,General use zone,45,460
OS4,2015,General use zone,35,410
OS4,2015,General use zone,32,340
OS4,2015,General use zone,32,370
OS4,2015,General use zone,26,390
OS6,2015,General use zone,38,480
OS6,2015,General use zone,35,400
OS6,2015,General use zone,32,280
OS6,2015,General use zone,30,320
OS6,2015,General use zone,23,360
OS6,2015,General use zone,23,310
